link,tanggal
https://www.tribunnews.com/nasional/2023/03/02/cara-download-sertifikat-vaksin-di-satu-sehat-mobile-cukup-login-menggunakan-email-saja,2023-03-02
https://poskota.co.id/2023/03/02/aplikasi-satu-sehat-bisa-digunakan-per-1-maret-2023-cek-fitur-terbarunya,2023-03-02
https://www.liputan6.com/news/read/5221545/infografis-pedulilindungi-jadi-satu-sehat-mobile-per-1-maret-2023,2023-03-02
https://www.ayobandung.com/umum/797809221/pandemi-berakhir-aplikasi-peduli-lindungi-transformasi-nama-menjadi-satu-sehat,2023-03-02
https://depoktoday.hops.id/nasional/3087804151/resmi-per-1-maret-pedulilindungi-berubah-jadi-satu-sehat-mobile-kenali-fitur-terbaru-dan-cara-updatenya,2023-03-02
https://priangan.tribunnews.com/2023/03/02/penjelasan-kemenkes-soal-keluhan-tiket-booster-hilang-di-satusehat-mobile-apakah-masih-bisa-vaksin,2023-03-02
https://tirto.id/cara-cek-sertifikat-vaksin-di-satu-sehat-dan-update-aplikasi-gC4X,2023-03-02
https://www.liputan6.com/regional/read/5222193/pedulilindungi-berubah-jadi-satu-sehat-mobile-berikut-cara-updatenya,2023-03-02
https://www.cnbcindonesia.com/tech/20230302091037-37-418190/begini-cara-download-sertifikat-vaksin-tanpa-aplikasi,2023-03-02
https://www.cnbcindonesia.com/tech/20230301200216-37-418106/aplikasi-pedulilindungi-ganti-satusehat-ini-isi-fungsinya/2,2023-03-02
https://katadata.co.id/digital/teknologi/64004d2a21e34/daftar-fitur-di-aplikasi-satu-sehat-yang-gantikan-pedulilindungi,2023-03-02
https://indonesiabaik.id/infografis/cara-update-pedulilindungi-ke-satusehat-mobile,2023-03-02
https://promkes.kemkes.go.id/pedulilindungi-resmi-berubah-menjadi-satusehat,2023-03-02
https://teknologi.bisnis.com/read/20230302/84/1633336/perbedaan-pedulilindungi-dan-satu-sehat-mobile-apa-saja-fiturnya,2023-03-02
https://tekno.kompas.com/read/2023/03/02/15150027/tiket-booster-hilang-di-satu-sehat-mobile-apakah-masih-bisa-vaksin-ini?page=all,2023-03-02
https://www.kompas.com/tren/read/2023/03/02/204900765/cara-cek-sertifikat-vaksin-di-aplikasi-satu-sehat-mobile,2023-03-02
https://katadata.co.id/digital/teknologi/64000b1e04e3e/cara-download-bukti-vaksin-di-aplikasi-satu-sehat-untuk-naik-kereta,2023-03-02
https://www.cnnindonesia.com/teknologi/20230302110028-190-919775/cara-pakai-fitur-riwayat-imunisasi-anak-di-aplikasi-satusehat,2023-03-02
https://jalantikus.com/healthtech/aplikasi-satu-sehat-tidak-bisa-login/,2023-03-02
https://www.liputan6.com/tekno/read/5219495/pedulilindungi-jadi-satu-sehat-mobile-per-1-maret-tak-perlu-hapus-aplikasi,2023-03-01
